Time,Speed,Label
0.020005001,3e-05,0
0.040010003,0.120060015,0
0.060015004,0.240090023,0
0.080020005,0.36012003,0
0.100025006,0.480150038,0
0.120030008,0.600180045,0
0.140035009,0.720210053,0
0.16004001,0.84024006,0
0.180045011,0.960270068,0
0.200050013,1.080300075,0
0.220055014,1.200330083,0
0.240060015,1.32036009,0
0.260065016,1.440390098,0
0.280070018,1.560420105,0
0.300075019,1.680450113,0
0.32008002,1.80048012,0
0.340085021,1.920510128,0
0.360090023,2.040540135,0
0.380095024,2.160570143,0
0.400100025,2.28060015,0
0.420105026,2.400630158,0
0.440110028,2.520660165,0
0.460115029,2.640690173,0
0.48012003,2.76072018,0
0.500125031,2.880750188,0
0.520130033,3.000780195,0
0.540135034,3.120810203,0
0.560140035,3.240700175,0
0.580145036,3.340725181,0
0.600150038,3.440750188,0
0.620155039,3.540775194,0
0.64016004,3.6408002,0
0.660165041,3.740825206,0
0.680170043,3.840850213,0
0.700175044,3.940875219,0
0.720180045,4.040900225,0
0.740185046,4.140925231,0
0.760190048,4.240950238,0
0.780195049,4.340975244,0
0.80020005,4.44100025,0
0.820205051,4.541025256,0
0.840210053,4.641050263,0
0.860215054,4.741075269,0
0.880220055,4.841100275,0
0.900225056,4.941125281,0
0.920230058,5.041150288,0
0.940235059,5.141165891,0
0.96024006,5.240366692,0
0.980245061,5.337566688,0
1.000250063,5.432782192,0
1.020255064,5.526053229,0
1.040260065,5.6174195,0
1.060265066,5.706919903,0
1.080270068,5.794592542,0
1.100275069,5.880474743,0
1.12028007,5.964603071,0
1.140285071,6.047013344,0
1.160290073,6.127695935,0
1.180295074,6.203714939,0
1.200300075,6.279733166,0
1.220305076,6.355677099,0
1.240310078,6.430100287,0
1.260315079,6.503004233,0
1.28032008,6.574419357,0
1.300325081,6.644376053,0
1.320330083,6.712904104,0
1.340335084,6.780032685,0
1.360340085,6.845790377,0
1.380345086,6.910205175,0
1.400350088,6.973304503,0
1.420355089,7.035115227,0
1.44036009,7.095663661,0
1.460365091,7.154975584,0
1.480370093,7.213076249,0
1.500375094,7.26999039,0
1.520380095,7.325742239,0
1.540385096,7.380355532,0
1.560390098,7.433853521,0
1.580395099,7.486258981,0
1.6004001,7.537594226,0
1.620405101,7.587881109,0
1.640410103,7.637141042,0
1.660415104,7.685394996,0
1.680420105,7.732663514,0
1.700425106,7.778966722,0
1.720430108,7.824324333,0
1.740435109,7.868755658,0
1.76044011,7.912279612,0
1.780445111,7.954914727,0
1.800450113,7.996679155,0
1.820455114,8.037590675,0
1.840460115,8.077666706,0
1.860465116,8.116924311,0
1.880470118,8.155380202,0
1.900475119,8.193050754,0
1.92048012,8.229952003,0
1.940485121,8.26609966,0
1.960490123,8.301509115,0
1.980495124,8.336195443,0
2.000500125,8.370173413,0
2.020505126,8.403457489,0
2.040510128,8.436061843,0
2.060515129,8.468000356,0
2.08052013,8.499286625,0
2.100525131,8.529933971,0
2.120530133,8.559955442,0
2.140535134,8.589363818,0
2.160540135,8.618171621,0
2.180545136,8.646391115,0
2.200550138,8.674034315,0
2.220555139,8.701112989,0
2.24056014,8.727638667,0
2.260565141,8.753622642,0
2.280570143,8.779075976,0
2.300575144,8.804009505,0
2.320580145,8.828433846,0
2.340585146,8.852359396,0
2.360590148,8.875796343,0
2.380595149,8.898754663,0
2.40060015,8.921244133,0
2.420605151,8.943274325,0
2.440610153,8.964854621,0
2.460615154,8.985994206,0
2.480620155,9.006702083,0
2.500625156,9.026987066,0
2.520630158,9.046857792,0
2.540635159,9.066322721,0
2.56064016,9.085390141,0
2.580645161,9.104068168,0
2.600650163,9.122364756,0
2.620655164,9.140287693,0
2.640660165,9.157844611,0
2.660665166,9.175042984,0
2.680670168,9.191890134,0
2.700675169,9.208393234,0
2.72068017,9.224559311,0
2.740685171,9.240395246,0
2.760690173,9.255907782,0
2.780695174,9.271103524,0
2.800700175,9.28598894,0
2.820705176,9.300570369,0
2.840710178,9.314854017,0
2.860715179,9.328845968,0
2.88072018,9.342552176,0
2.900725181,9.355978479,0
2.920730183,9.369130591,0
2.940735184,9.382014114,0
2.960740185,9.39463453,0
2.980745186,9.406997215,0
3.000750188,9.41910743,0
3.020755189,9.430970333,0
3.04076019,9.442590973,0
3.060765191,9.453974298,0
3.080770193,9.465125155,0
3.100775194,9.47604829,0
3.120780195,9.486748355,0
3.140785196,9.497229904,0
3.160790198,9.507497401,0
3.180795199,9.517555217,0
3.2008002,9.527407633,0
3.220805201,9.537058845,0
3.240810203,9.546512961,0
3.260815204,9.555774007,0
3.280820205,9.564845925,0
3.300825206,9.573732578,0
3.320830208,9.582437748,0
3.340835209,9.590965143,0
3.36084021,9.599318393,0
3.380845211,9.607501054,0
3.400850213,9.61551661,0
3.420855214,9.623368473,0
3.440860215,9.631059987,0
3.460865216,9.638594426,0
3.480870218,9.645974998,0
3.500875219,9.653204844,0
3.52088022,9.660287044,0
3.540885221,9.667224612,0
3.560890223,9.674020502,0
3.580895224,9.680677608,0
3.600900225,9.687198763,0
3.620905226,9.693586744,0
3.640910228,9.699844271,0
3.660915229,9.705974007,0
3.68092023,9.711978563,0
3.700925231,9.717860494,0
3.720930233,9.723622306,0
3.740935234,9.729266451,0
3.760940235,9.734795332,0
3.780945236,9.740211303,0
3.800950238,9.74551667,0
3.820955239,9.750713691,0
3.84096024,9.75580458,0
3.860965241,9.760791503,0
3.880970243,9.765676584,0
3.900975244,9.770461902,0
3.920980245,9.775149496,0
3.940985246,9.77974136,0
3.960990248,9.78423945,0
3.980995249,9.78864568,0
4.00100025,9.792961927,0
4.021005251,9.797190029,0
4.041010253,9.801331784,0
4.061015254,9.805388957,0
4.081020255,9.809363276,0
4.101025256,9.813256431,0
4.121030258,9.817070081,0
4.141035259,9.820805849,0
4.16104026,9.824465326,0
4.181045261,9.82805007,0
4.201050263,9.831561606,0
4.221055264,9.83500143,0
4.241060265,9.838371007,0
4.261065266,9.841671771,0
4.281070268,9.844905127,0
4.301075269,9.848072452,0
4.32108027,9.851175094,0
4.341085271,9.854214375,0
4.361090273,9.857191587,0
4.381095274,9.860108,0
4.401100275,9.862964854,0
4.421105276,9.865763366,0
4.441110278,9.868504727,0
4.461115279,9.871190104,0
4.48112028,9.873820641,0
4.501125281,9.876397458,0
4.521130283,9.878921651,0
4.541135284,9.881394295,0
4.561140285,9.883816444,0
4.581145286,9.886189128,0
4.601150288,9.888513357,0
4.621155289,9.890790121,0
4.64116029,9.893020389,0
4.661165291,9.895205111,0
4.681170293,9.897345217,0
4.701175294,9.899441618,0
4.721180295,9.901495207,0
4.741185296,9.903506858,0
4.761190298,9.905477426,0
4.781195299,9.907407753,0
4.8012003,9.909298658,0
4.821205301,9.911150948,0
4.841210303,9.91296541,0
4.861215304,9.914742818,0
4.881220305,9.916483928,0
4.901225306,9.918189481,0
4.921230308,9.919860204,0
4.941235309,9.921496807,0
4.96124031,9.923099988,0
4.981245311,9.924670429,0
5.001250313,9.926208798,0
5.021255314,9.927715752,0
5.041260315,9.92919193,0
5.061265316,9.930637962,0
5.081270318,9.932054464,0
5.101275319,9.933442038,0
5.12128032,9.934801275,0
5.141285321,9.936132754,0
5.161290323,9.937437041,0
5.181295324,9.938714693,0
5.201300325,9.939966253,0
5.221305326,9.941192253,0
5.241310328,9.942393217,0
5.261315329,9.943569654,0
5.28132033,9.944722066,0
5.301325331,9.945850944,0
5.321330333,9.946956769,0
5.341335334,9.94804001,0
5.361340335,9.949101129,0
5.381345336,9.950140579,0
5.401350338,9.9511588,0
5.421355339,9.952156228,0
5.44136034,9.953133287,0
5.461365341,9.954090392,0
5.481370343,9.955027952,0
5.501375344,9.955946364,0
5.521380345,9.956846021,0
5.541385346,9.957727306,0
5.561390348,9.958590593,0
5.581395349,9.95943625,0
5.60140035,9.960264637,0
5.621405351,9.961076106,0
5.641410353,9.961871005,0
5.661415354,9.962649669,0
5.681420355,9.963412433,0
5.701425356,9.964159619,0
5.721430358,9.964891546,0
5.741435359,9.965608526,0
5.76144036,9.966310863,0
5.781445361,9.966998858,0
5.801450363,9.967672803,0
5.821455364,9.968332984,0
5.841460365,9.968979683,0
5.861465366,9.969613176,0
5.881470368,9.970233731,0
5.901475369,9.970841613,0
5.92148037,9.971437082,0
5.941485371,9.97202039,0
5.961490373,9.972591785,0
5.981495374,9.973151512,0
6.001500375,9.973699808,0
6.021505376,9.974236907,0
6.041510378,9.974763037,0
6.061515379,9.975278422,0
6.08152038,9.975783283,0
6.101525381,9.976277833,0
6.121530383,9.976762284,0
6.141535384,9.977236841,0
6.161540385,9.977701707,0
6.181545386,9.97815708,0
6.201550388,9.978603153,0
6.221555389,9.979040116,0
6.24156039,9.979468156,0
6.261565391,9.979887454,0
6.281570393,9.98029819,0
6.301575394,9.980700537,0
6.321580395,9.981094668,0
6.341585396,9.98148075,0
6.361590398,9.981858948,0
6.381595399,9.982229422,0
6.4016004,9.98259233,0
6.421605401,9.982947827,0
6.441610403,9.983296064,0
6.461615404,9.983637189,0
6.481620405,9.983971348,0
6.501625406,9.984298683,0
6.521630408,9.984619333,0
6.541635409,9.984933435,0
6.56164041,9.985241122,0
6.581645411,9.985542526,0
6.601650413,9.985837774,0
6.621655414,9.986126993,0
6.641660415,9.986410306,0
6.661665416,9.986687833,0
6.681670418,9.986959692,0
6.701675419,9.987225999,0
6.72168042,9.987486868,0
6.741685421,9.987742409,0
6.761690423,9.987992732,0
6.781695424,9.988237943,0
6.801700425,9.988478146,0
6.821705426,9.988713444,0
6.841710428,9.988943936,0
6.861715429,9.989169721,0
6.88172043,9.989390896,0
6.901725431,9.989607553,0
6.921730433,9.989819786,0
6.941735434,9.990027685,0
6.961740435,9.990231339,0
6.981745436,9.990430833,0
7.001750438,9.990626253,0
7.021755439,9.990817682,0
7.04176044,9.991005202,0
7.061765441,9.991188893,0
7.081770443,9.991368832,0
7.101775444,9.991545096,0
7.121780445,9.991717761,0
7.141785446,9.9918869,0
7.161790448,9.992052585,0
7.181795449,9.992214886,0
7.20180045,9.992373872,0
7.221805451,9.992529612,0
7.241810453,9.992682171,0
7.261815454,9.992831615,0
7.281820455,9.992978006,0
7.301825456,9.993121409,0
7.321830458,9.993261882,0
7.341835459,9.993399487,0
7.36184046,9.993534282,0
7.381845461,9.993666324,0
7.401850463,9.993795669,0
7.421855464,9.993922373,0
7.441860465,9.99404649,0
7.461865466,9.994168071,0
7.481870468,9.99428717,0
7.501875469,9.994403837,0
7.52188047,9.994518121,0
7.541885471,9.994630071,0
7.561890473,9.994739735,0
7.581895474,9.994847159,0
7.601900475,9.99495239,0
7.621905476,9.995055471,0
7.641910478,9.995156448,0
7.661915479,9.995255362,0
7.68192048,9.995352257,0
7.701925481,9.995447172,0
7.721930483,9.995540149,0
7.741935484,9.995631228,0
7.761940485,9.995720446,0
7.781945486,9.995807843,0
7.801950488,9.995893454,0
7.821955489,9.995977318,0
7.84196049,9.996059468,0
7.861965491,9.996139941,0
7.881970493,9.996218771,0
7.901975494,9.996295991,0
7.921980495,9.996371633,0
7.941985496,9.996445731,0
7.961990498,9.996518316,0
7.981995499,9.996589419,0
8.0020005,9.996659069,0
8.022005501,9.996727297,0
8.042010503,9.996794132,0
8.062015504,9.996859601,0
8.082020505,9.996923734,0
8.102025506,9.996986557,0
8.122030508,9.997048097,0
8.142035509,9.997108381,0
8.16204051,9.997167433,0
8.182045511,9.997225279,0
8.202050513,9.997281944,0
8.222055514,9.997337452,0
8.242060515,9.997391826,0
8.262065516,9.99744509,0
8.282070518,9.997497266,0
8.302075519,9.997548376,0
8.32208052,9.997598443,0
8.342085521,9.997647487,0
8.362090523,9.99769553,0
8.382095524,9.997742592,0
8.402100525,9.997788692,0
8.422105526,9.997833851,0
8.442110528,9.997878088,0
8.462115529,9.997921421,0
8.48212053,9.99796387,0
8.502125531,9.998005451,0
8.522130533,9.998046184,0
8.542135534,9.998086084,0
8.562140535,9.99812517,0
8.582145536,9.998163458,0
8.602150538,9.998200963,0
8.622155539,9.998237703,0
8.64216054,9.998273692,0
8.662165541,9.998308947,0
8.682170543,9.998343481,0
8.702175544,9.99837731,0
8.722180545,9.998410449,0
8.742185546,9.99844291,0
8.762190548,9.998474709,0
8.782195549,9.998505858,0
8.80220055,9.998536371,0
8.822205551,9.998566261,0
8.842210553,9.998595541,0
8.862215554,9.998624223,0
8.882220555,9.998652319,0
8.902225556,9.998679841,0
8.922230558,9.998706801,0
8.942235559,9.99873321,0
8.96224056,9.998759081,0
8.982245561,9.998784422,0
9.002250563,9.998809247,0
9.022255564,9.998833564,0
9.042260565,9.998857385,0
9.062265566,9.998880719,0
9.082270568,9.998903577,0
9.102275569,9.998925968,0
9.12228057,9.998947902,0
9.142285571,9.998969388,0
9.162290573,9.998990435,0
9.182295574,9.999011052,0
9.202300575,9.999031248,0
9.222305576,9.999051032,0
9.242310578,9.999070411,0
9.262315579,9.999089395,0
9.28232058,9.999107992,0
9.302325581,9.999126208,0
9.322330583,9.999144053,0
9.342335584,9.999161533,0
9.362340585,9.999178656,0
9.382345586,9.999195429,0
9.402350588,9.99921186,0
9.422355589,9.999227955,0
9.44236059,9.999243722,0
9.462365591,9.999259166,0
9.482370593,9.999274296,0
9.502375594,9.999289116,0
9.522380595,9.999303633,0
9.542385596,9.999317854,0
9.562390598,9.999331785,0
9.582395599,9.999345431,0
9.6024006,9.999358799,0
9.622405601,9.999371893,0
9.642410603,9.99938472,0
9.662415604,9.999397286,0
9.682420605,9.999409594,0
9.702425606,9.999421651,0
9.722430608,9.999433462,0
9.742435609,9.999445032,0
9.76244061,9.999456366,0
9.782445611,9.999467468,0
9.802450613,9.999478343,0
9.822455614,9.999488996,0
9.842460615,9.999499432,0
9.862465616,9.999509654,0
9.882470618,9.999519668,0
9.902475619,9.999529477,0
9.92248062,9.999539086,0
9.942485621,9.999548499,0
9.962490623,9.999557719,0
9.982495624,9.999566752,0
10.00250063,9.999575599,0
10.02250563,9.999584266,2
10.04251063,9.999592757,2
10.06251563,9.999601073,2
10.08252063,9.99960922,2
10.10252563,9.9996172,2
10.12253063,9.999625018,2
10.14253563,9.999632676,2
10.16254064,9.999640177,2
10.18254564,9.999647525,2
10.20255064,9.999654724,2
10.22255564,9.999661775,2
10.24256064,9.999668682,2
10.26256564,9.999675448,2
10.28257064,9.999682076,2
10.30257564,9.999688569,2
10.32258065,9.999694929,2
10.34258565,9.999701159,2
10.36259065,9.999707262,2
10.38259565,9.99971324,2
10.40260065,9.999719096,2
10.42260565,9.999724833,2
10.44261065,9.999730452,2
10.46261565,9.999735957,2
10.48262066,9.999741349,2
10.50262566,9.999746631,2
10.52263066,9.999751805,2
10.54263566,9.999756874,2
10.56264066,9.999761839,2
10.58264566,9.999766703,2
10.60265066,9.999771467,2
10.62265566,9.999776134,2
10.64266067,9.999780706,2
10.66266567,9.999785184,2
10.68267067,9.999789571,2
10.70267567,9.999793869,2
10.72268067,9.999798078,2
10.74268567,9.999802202,2
10.76269067,9.999806241,2
10.78269567,9.999810198,2
10.80270068,9.999814074,2
10.82270568,9.999817871,2
10.84271068,9.999821591,2
10.86271568,9.999825234,2
10.88272068,9.999828803,2
10.90272568,9.999832299,2
10.92273068,9.999835724,2
10.94273568,9.999839079,2
10.96274069,9.999842365,2
10.98274569,9.999845584,2
11.00275069,9.999848738,2
11.02275569,9.999851827,2
11.04276069,9.999854853,2
11.06276569,9.999857817,2
11.08277069,9.999860721,2
11.10277569,9.999863565,2
11.1227807,9.999866351,2
11.1427857,9.999869081,2
11.1627907,9.999871754,2
11.1827957,9.999874373,2
11.2028007,9.999876939,2
11.2228057,9.999879452,2
11.2428107,9.999881914,2
11.2628157,9.999884325,2
11.28282071,9.999886688,2
11.30282571,9.999889002,2
11.32283071,9.999891268,2
11.34283571,9.999893489,2
11.36284071,9.999895664,2
11.38284571,9.999897795,2
11.40285071,9.999899882,2
11.42285571,9.999901927,2
11.44286072,9.99990393,2
11.46286572,9.999905891,2
11.48287072,9.999907813,2
11.50287572,9.999909696,2
11.52288072,9.99991154,2
11.54288572,9.999913347,2
11.56289072,9.999915116,2
11.58289572,9.99991685,2
11.60290073,9.999918548,2
11.62290573,9.999920211,2
11.64291073,9.999921841,2
11.66291573,9.999923437,2
11.68292073,9.999925,2
11.70292573,9.999926532,2
11.72293073,9.999928032,2
11.74293573,9.999929502,2
11.76294074,9.999930942,2
11.78294574,9.999932352,2
11.80295074,9.999933734,2
11.82295574,9.999935087,2
11.84296074,9.999936413,2
11.86296574,9.999937711,2
11.88297074,9.999938983,2
11.90297574,9.999940229,2
11.92298075,9.99994145,2
11.94298575,9.999942646,2
11.96299075,9.999943817,2
11.98299575,9.999944964,2
12.00300075,9.999946088,2
12.02300575,9.999947189,2
12.04301075,9.999948268,2
12.06301575,9.999949324,2
12.08302076,9.999950359,2
12.10302576,9.999951373,2
12.12303076,9.999952366,2
12.14303576,9.999953339,2
12.16304076,9.999954291,2
12.18304576,9.999955225,2
12.20305076,9.999956139,2
12.22305576,9.999957035,2
12.24306077,9.999957912,2
12.26306577,9.999958772,2
12.28307077,9.999959614,2
12.30307577,9.999960439,2
12.32308077,9.999961247,2
12.34308577,9.999962038,2
12.36309077,9.999962813,2
12.38309577,9.999963573,2
12.40310078,9.999964317,2
12.42310578,9.999965045,2
12.44311078,9.999965759,2
12.46311578,9.999966458,2
12.48312078,9.999967143,2
12.50312578,9.999967814,2
12.52313078,9.999968472,2
12.54313578,9.999969116,2
12.56314079,9.999969746,2
12.58314579,9.999970364,2
12.60315079,9.999970969,2
12.62315579,9.999971562,2
12.64316079,9.999972143,2
12.66316579,9.999972712,2
12.68317079,9.999973269,2
12.70317579,9.999973815,2
12.7231808,9.99997435,2
12.7431858,9.999974874,2
12.7631908,9.999975387,2
12.7831958,9.999975889,2
12.8032008,9.999976382,2
12.8232058,9.999976864,2
12.8432108,9.999977337,2
12.8632158,9.999977799,2
12.88322081,9.999978253,2
12.90322581,9.999978697,2
12.92323081,9.999979132,2
12.94323581,9.999979558,2
12.96324081,9.999979976,2
12.98324581,9.999980384,2
13.00325081,9.999980785,2
13.02325581,9.999981177,2
13.04326082,9.999981562,2
13.06326582,9.999981938,2
13.08327082,9.999982307,2
13.10327582,9.999982669,2
13.12328082,9.999983023,2
13.14328582,9.999983369,2
13.16329082,9.999983709,2
13.18329582,9.999984042,2
13.20330083,9.999984367,2
13.22330583,9.999984687,2
13.24331083,9.999984999,2
13.26331583,9.999985306,2
13.28332083,9.999985606,2
13.30332583,9.9999859,2
13.32333083,9.999986188,2
13.34333583,9.99998647,2
13.36334084,9.999986746,2
13.38334584,9.999987017,2
13.40335084,9.999987282,2
13.42335584,9.999987542,2
13.44336084,9.999987796,2
13.46336584,9.999988045,2
13.48337084,9.999988289,2
13.50337584,9.999988529,2
13.52338085,9.999988763,2
13.54338585,9.999988992,2
13.56339085,9.999989217,2
13.58339585,9.999989437,2
13.60340085,9.999989653,2
13.62340585,9.999989864,2
13.64341085,9.999990071,2
13.66341585,9.999990274,2
13.68342086,9.999990473,2
13.70342586,9.999990667,2
13.72343086,9.999990858,2
13.74343586,9.999991045,2
13.76344086,9.999991227,2
13.78344586,9.999991407,2
13.80345086,9.999991582,2
13.82345586,9.999991754,2
13.84346087,9.999991922,2
13.86346587,9.999992087,2
13.88347087,9.999992249,2
13.90347587,9.999992407,2
13.92348087,9.999992562,2
13.94348587,9.999992714,2
13.96349087,9.999992863,2
13.98349587,9.999993009,2
14.00350088,9.999993152,2
14.02350588,9.999993291,2
14.04351088,9.999993428,2
14.06351588,9.999993563,2
14.08352088,9.999993694,2
14.10352588,9.999993823,2
14.12353088,9.999993949,2
14.14353588,9.999994073,2
14.16354089,9.999994194,2
14.18354589,9.999994312,2
14.20355089,9.999994428,2
14.22355589,9.999994542,2
14.24356089,9.999994654,2
14.26356589,9.999994763,2
14.28357089,9.99999487,2
14.30357589,9.999994975,2
14.3235809,9.999995077,2
14.3435859,9.999995178,2
14.3635909,9.999995276,2
14.3835959,9.999995373,2
14.4036009,9.999995467,2
14.4236059,9.99999556,2
14.4436109,9.99999565,2
14.4636159,9.999995739,2
14.48362091,9.999995826,2
14.50362591,9.999995911,2
14.52363091,9.999995995,2
14.54363591,9.999996077,2
14.56364091,9.999996157,2
14.58364591,9.999996235,2
14.60365091,9.999996312,2
14.62365591,9.999996388,2
14.64366092,9.999996461,2
14.66366592,9.999996534,2
14.68367092,9.999996604,2
14.70367592,9.999996674,2
14.72368092,9.999996742,2
14.74368592,9.999996808,2
14.76369092,9.999996873,2
14.78369592,9.999996937,2
14.80370093,9.999997,2
14.82370593,9.999997061,2
14.84371093,9.999997121,2
14.86371593,9.99999718,2
14.88372093,9.999997237,2
14.90372593,9.999997294,2
14.92373093,9.999997349,2
14.94373593,9.999997403,2
14.96374094,9.999997456,2
14.98374594,9.999997508,2
15.00375094,9.999997559,2
15.02375594,9.999997609,2
15.04376094,9.999997658,2
15.06376594,9.999997706,2
15.08377094,9.999997752,2
15.10377594,9.999997798,2
15.12378095,9.999997843,2
15.14378595,9.999997887,2
15.16379095,9.999997931,2
15.18379595,9.999997973,2
15.20380095,9.999998014,2
15.22380595,9.999998055,2
15.24381095,9.999998094,2
15.26381595,9.999998133,2
15.28382096,9.999998172,2
15.30382596,9.999998209,2
15.32383096,9.999998245,2
15.34383596,9.999998281,2
15.36384096,9.999998316,2
15.38384596,9.999998351,2
15.40385096,9.999998384,2
15.42385596,9.999998417,2
15.44386097,9.99999845,2
15.46386597,9.999998481,2
15.48387097,9.999998512,2
15.50387597,9.999998543,2
15.52388097,9.999998573,2
15.54388597,9.999998602,2
15.56389097,9.99999863,2
15.58389597,9.999998658,2
15.60390098,9.999998686,2
15.62390598,9.999998712,2
15.64391098,9.999998739,2
15.66391598,9.999998765,2
15.68392098,9.99999879,2
15.70392598,9.999998814,2
15.72393098,9.999998839,2
15.74393598,9.999998862,2
15.76394099,9.999998886,2
15.78394599,9.999998908,2
15.80395099,9.999998931,2
15.82395599,9.999998953,2
15.84396099,9.999998974,2
15.86396599,9.999998995,2
15.88397099,9.999999015,2
15.90397599,9.999999035,2
15.923981,9.999999055,2
15.943986,9.999999074,2
15.963991,9.999999093,2
15.983996,9.999999112,2
16.004001,9.99999913,2
16.024006,9.999999148,2
16.044011,9.999999165,2
16.064016,9.999999182,2
16.08402101,9.999999199,2
16.10402601,9.999999215,2
16.12403101,9.999999231,2
16.14403601,9.999999247,2
16.16404101,9.999999262,2
16.18404601,9.999999277,2
16.20405101,9.999999292,2
